# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x14000aeb8 | 21 | ASCII | CM_PROB_INVALID_DATA
0x14000aed0 | 28 | ASCII | CM_PROB_DEVLOADER_NOT_FOUND
0x14000aef0 | 22 | ASCII | CM_PROB_FAILED_FILTER
0x14000af08 | 29 | ASCII | CM_PROB_BOOT_CONFIG_CONFLICT
0x14000af28 | 26 | ASCII | CM_PROB_LACKED_ARBITRATOR
0x14000af48 | 28 | ASCII | CM_PROB_ENTRY_IS_WRONG_TYPE
0x14000af68 | 22 | ASCII | CM_PROB_OUT_OF_MEMORY
0x14000af80 | 25 | ASCII | CM_PROB_DEVLOADER_FAILED
0x14000afa0 | 23 | ASCII | CM_PROB_NOT_CONFIGURED
0x14000afc8 | 15 | ASCII | NO_SUCH_DOMAIN
0x14000afd8 | 15 | ASCII | INTERNAL_ERROR
0x14000afe8 | 8 | ASCII | TIMEOUT
0x14000aff0 | 16 | ASCII | NO_SUCH_DEVINST
0x14000b008 | 19 | ASCII | PRIVILEGE_NOT_HELD
0x14000b020 | 21 | ASCII | DEVICE_NOT_CONNECTED
0x14000b038 | 19 | ASCII | INVALID_DOMAINNAME
0x14000b050 | 14 | ASCII | NOT_LOGGED_ON
0x14000b060 | 22 | ASCII | NO_SUCH_LOGON_SESSION
0x14000b078 | 18 | ASCII | NO_SUCH_PRIVILEGE
0x14000b090 | 10 | ASCII | IO_DEVICE
0x14000b0a0 | 17 | ASCII | SERVICE_DISABLED
0x14000b0b8 | 23 | ASCII | SERVICE_DOES_NOT_EXIST
0x14000b0d0 | 27 | ASCII | SERVICE_CANNOT_ACCEPT_CTRL
0x14000b0f0 | 19 | ASCII | SERVICE_NOT_ACTIVE
0x14000b108 | 24 | ASCII | INVALID_SERVICE_ACCOUNT
0x14000b120 | 9 | ASCII | NO_TOKEN
0x14000b130 | 24 | ASCII | INVALID_SERVICE_CONTROL
0x14000b148 | 24 | ASCII | SERVICE_REQUEST_TIMEOUT
0x14000b160 | 24 | ASCII | SERVICE_DATABASE_LOCKED
0x14000b178 | 24 | ASCII | SERVICE_ALREADY_RUNNING
0x14000b190 | 16 | ASCII | FULLSCREEN_MODE
0x14000b1a0 | 11 | ASCII | IO_PENDING
0x14000b1b0 | 14 | ASCII | INVALID_FLAGS
0x14000b1c0 | 20 | ASCII | UNRECOGNIZED_VOLUME
0x14000b1d8 | 13 | ASCII | FILE_INVALID
0x14000b1e8 | 18 | ASCII | OPERATION_ABORTED
0x14000b200 | 19 | ASCII | PIPE_NOT_CONNECTED
0x14000b218 | 10 | ASCII | MORE_DATA
0x14000b228 | 15 | ASCII | NO_SUCH_DEVICE
0x14000b238 | 15 | ASCII | PIPE_CONNECTED
0x14000b248 | 15 | ASCII | PIPE_LISTENING
0x14000b258 | 8 | ASCII | NO_DATA
0x14000b268 | 15 | ASCII | ALREADY_EXISTS
0x14000b278 | 9 | ASCII | BAD_PIPE
0x14000b288 | 10 | ASCII | PIPE_BUSY
0x14000b298 | 13 | ASCII | BAD_PATHNAME
0x14000b2a8 | 12 | ASCII | BAD_NETPATH
0x14000b2b8 | 18 | ASCII | INVALID_PARAMETER
0x14000b2d0 | 10 | ASCII | DISK_FULL
0x14000b2e0 | 12 | ASCII | SEM_TIMEOUT
0x14000b2f0 | 13 | ASCII | INVALID_NAME
0x14000b300 | 14 | ASCII | NOT_SUPPORTED
0x14000b310 | 13 | ASCII | INVALID_DATA
0x14000b320 | 14 | ASCII | NO_MORE_FILES
0x14000b330 | 14 | ASCII | WRITE_PROTECT
0x14000b340 | 10 | ASCII | NOT_READY
0x14000b350 | 12 | ASCII | GEN_FAILURE
0x14000b360 | 18 | ASCII | SHARING_VIOLATION
0x14000b378 | 16 | ASCII | BAD_ENVIRONMENT
0x14000b390 | 17 | ASCII | INVALID_FUNCTION
0x14000b3a8 | 15 | ASCII | FILE_NOT_FOUND
0x14000b3b8 | 15 | ASCII | PATH_NOT_FOUND
0x14000b3c8 | 14 | ASCII | ACCESS_DENIED
0x14000b3d8 | 15 | ASCII | INVALID_HANDLE
0x14000b3e8 | 18 | ASCII | NOT_ENOUGH_MEMORY
0x14000b400 | 8 | ASCII | CR_0x%X
0x14000b408 | 12 | ASCII | apphelp.dll
0x14000b418 | 13 | ASCII | advapi32.dll
